"sr_no","sem","term","term_id","flg","exam_type","exam","did","sub_code","online","stud_count","exam_date","division","slot","start_time","end_time","en_on","en_by","ip"
"2391","2","EVEN 2025","47","0","3","End Semester Exam","2","ME21103","0","4","2026-04-24",,"1","10:00:00","13:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2392","2","EVEN 2025","47","0","3","End Semester Exam","2","ME21104","1","1","2026-05-04","B","2","12:30:00","14:30:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2393","2","EVEN 2025","47","0","3","End Semester Exam","2","ME21108","0","8","2026-04-28",,"1","10:00:00","13:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2394","3","EVEN 2025","47","0","3","End Semester Exam","2","ME21209","0","8","2026-05-13",,"1","10:00:00","13:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2395","2","EVEN 2025","47","0","3","End Semester Exam","2","ME21210","0","3","2026-05-06",,"2","10:00:00","14:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2396","4","EVEN 2025","47","0","3","End Semester Exam","2","ME21211","0","29","2026-04-30",,"3","14:00:00","17:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2397","3","EVEN 2025","47","0","3","End Semester Exam","2","ME21212","0","7","2026-05-12",,"3","14:00:00","17:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2398","3","EVEN 2025","47","0","3","End Semester Exam","2","ME21213","0","9","2026-04-29",,"1","10:00:00","13:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2399","3","EVEN 2025","47","0","3","End Semester Exam","2","ME21214","0","2","2026-04-30",,"1","10:00:00","13:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2400","3","EVEN 2025","47","0","3","End Semester Exam","2","ME21216","0","2","2026-05-08",,"4","14:00:00","18:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2401","5","EVEN 2025","47","0","3","End Semester Exam","2","ME21308","0","1","2026-04-23",,"1","10:00:00","13:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2402","4","EVEN 2025","47","0","3","End Semester Exam","2","ME21412","0","6","2026-05-13",,"3","14:00:00","17:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2403","4","EVEN 2025","47","0","3","End Semester Exam","2","ME21413","0","5","2026-05-08",,"1","10:00:00","13:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2404","5","EVEN 2025","47","0","3","End Semester Exam","2","ME21414","0","13","2026-04-29",,"4","14:00:00","18:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2405","4","EVEN 2025","47","0","3","End Semester Exam","2","ME21415","0","10","2026-05-07",,"1","10:00:00","13:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2406","5","EVEN 2025","47","0","3","End Semester Exam","2","ME21416","0","8","2026-04-27",,"1","10:00:00","13:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2407","5","EVEN 2025","47","0","3","End Semester Exam","2","ME21505","0","4","2026-05-11",,"3","14:00:00","17:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2408","5","EVEN 2025","47","0","3","End Semester Exam","2","ME21506","0","9","2026-05-05",,"3","14:00:00","17:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2409","4","EVEN 2025","47","0","3","End Semester Exam","2","ME21507","0","6","2026-05-07",,"3","14:00:00","17:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2410","4","EVEN 2025","47","0","3","End Semester Exam","2","ME21508","0","7","2026-05-11",,"1","10:00:00","13:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2411","5","EVEN 2025","47","0","3","End Semester Exam","2","ME21509","0","4","2026-04-28",,"3","14:00:00","17:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2412","2","EVEN 2025","47","0","3","End Semester Exam","2","ME231101","1","59","2026-05-04","A","2","12:30:00","14:30:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2413","2","EVEN 2025","47","0","3","End Semester Exam","2","ME231101","1","59","2026-05-04","B","3","15:00:00","17:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2414","1","EVEN 2025","47","0","3","End Semester Exam","2","ME231102","1","6","2026-05-12","A","1","10:00:00","12:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2415","1","EVEN 2025","47","0","3","End Semester Exam","2","ME231102","1","5","2026-05-12","B","1","10:00:00","12:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
